epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,5906.99,0.54905,0.63387,0.81127,0.89999,0.887,0.93481,0.84116,0.41869,0.43093,0.79293,0.007624,0.007624,0.007624
26,6142.05,0.54583,0.63222,0.81211,0.90094,0.88734,0.93559,0.84178,0.41785,0.42867,0.79278,0.007525,0.007525,0.007525
27,6376.91,0.54689,0.62401,0.81032,0.90399,0.88665,0.93656,0.84336,0.41738,0.42621,0.79267,0.007426,0.007426,0.007426
28,6611.55,0.54384,0.61606,0.80957,0.90402,0.88784,0.93762,0.84413,0.41684,0.4236,0.7926,0.007327,0.007327,0.007327
29,6847.46,0.5421,0.61259,0.80989,0.90408,0.89011,0.93856,0.84488,0.41616,0.42096,0.79242,0.007228,0.007228,0.007228
30,7083.3,0.54067,0.60659,0.80989,0.91066,0.88731,0.93936,0.84585,0.41545,0.41805,0.79227,0.007129,0.007129,0.007129
31,7318.49,0.54008,0.60356,0.8097,0.91017,0.88764,0.94028,0.84676,0.415,0.41493,0.79214,0.00703,0.00703,0.00703
32,7553.49,0.53834,0.5985,0.81006,0.91159,0.88633,0.94123,0.84842,0.41439,0.41179,0.79208,0.006931,0.006931,0.006931
33,7788.79,0.53729,0.59372,0.80903,0.91752,0.88605,0.94208,0.84954,0.41377,0.40854,0.79198,0.006832,0.006832,0.006832
34,8023.46,0.53576,0.59246,0.80912,0.90795,0.89328,0.94268,0.85047,0.41322,0.40566,0.79181,0.006733,0.006733,0.006733
35,8258.37,0.53664,0.59198,0.80879,0.91698,0.88897,0.94356,0.85167,0.41292,0.40285,0.79172,0.006634,0.006634,0.006634
36,8492.22,0.53532,0.58442,0.80933,0.92124,0.88804,0.94445,0.85296,0.41235,0.40022,0.79166,0.006535,0.006535,0.006535
37,8726.46,0.53192,0.5781,0.80862,0.92094,0.89136,0.94517,0.8537,0.41175,0.39748,0.79159,0.006436,0.006436,0.006436
38,8959.02,0.53201,0.57163,0.80757,0.92233,0.89222,0.94624,0.85428,0.41113,0.3945,0.79147,0.006337,0.006337,0.006337
39,9195.47,0.52878,0.57035,0.80711,0.92694,0.89011,0.94699,0.85576,0.41054,0.3911,0.79135,0.006238,0.006238,0.006238
40,9429.82,0.52847,0.57077,0.80685,0.92919,0.89038,0.94789,0.8567,0.40984,0.38803,0.79125,0.006139,0.006139,0.006139
41,9664.38,0.52553,0.55822,0.80774,0.91863,0.90139,0.94894,0.85816,0.40932,0.38501,0.79112,0.00604,0.00604,0.00604
42,9898.72,0.5256,0.5568,0.80759,0.92172,0.89975,0.94945,0.85922,0.40869,0.38236,0.79097,0.005941,0.005941,0.005941
43,10131.3,0.52403,0.55757,0.8077,0.92213,0.90112,0.95023,0.86016,0.40809,0.37993,0.79088,0.005842,0.005842,0.005842
44,10366.5,0.52366,0.55324,0.80685,0.925,0.89974,0.95093,0.86066,0.4077,0.37713,0.79084,0.005743,0.005743,0.005743
45,10600.3,0.5239,0.54642,0.80809,0.9267,0.90033,0.95149,0.86163,0.40697,0.37496,0.79068,0.005644,0.005644,0.005644
46,10835.9,0.52062,0.54475,0.80546,0.92966,0.90121,0.95231,0.86313,0.4065,0.37234,0.79063,0.005545,0.005545,0.005545
47,11069.9,0.51936,0.54054,0.80683,0.93224,0.90049,0.95304,0.86369,0.40576,0.3701,0.79046,0.005446,0.005446,0.005446
48,11305,0.51956,0.5369,0.80714,0.93302,0.90046,0.95373,0.86486,0.40508,0.36738,0.79033,0.005347,0.005347,0.005347
49,11540,0.52056,0.53077,0.80682,0.93774,0.90131,0.95476,0.86578,0.40445,0.36438,0.79016,0.005248,0.005248,0.005248
50,11775.3,0.51608,0.52691,0.80536,0.93691,0.90241,0.95578,0.86678,0.4038,0.36201,0.78995,0.005149,0.005149,0.005149
51,12009.2,0.5147,0.52122,0.80504,0.94141,0.90096,0.95645,0.86811,0.40327,0.35898,0.78986,0.00505,0.00505,0.00505
52,12243.6,0.51515,0.52364,0.8051,0.94307,0.90174,0.957,0.86913,0.40271,0.3566,0.78976,0.004951,0.004951,0.004951
53,12477.9,0.51382,0.51762,0.80609,0.94283,0.90344,0.95775,0.86944,0.4022,0.35421,0.7897,0.004852,0.004852,0.004852
54,12712.7,0.51386,0.52039,0.8052,0.94185,0.90704,0.95846,0.87047,0.40172,0.351,0.78957,0.004753,0.004753,0.004753
55,12947.3,0.51195,0.51239,0.80385,0.94521,0.90597,0.9593,0.87187,0.40119,0.34815,0.7895,0.004654,0.004654,0.004654
56,13182.5,0.51141,0.50606,0.80363,0.94618,0.90627,0.95986,0.87305,0.40052,0.34574,0.78937,0.004555,0.004555,0.004555
57,13417.6,0.50947,0.50817,0.80492,0.94551,0.9077,0.96043,0.87408,0.3998,0.34353,0.78922,0.004456,0.004456,0.004456
58,13652.6,0.50736,0.4954,0.80429,0.94692,0.90856,0.96132,0.87529,0.39934,0.34083,0.78912,0.004357,0.004357,0.004357
59,13886.3,0.5066,0.49661,0.8035,0.94637,0.9115,0.96188,0.87593,0.39883,0.33837,0.789,0.004258,0.004258,0.004258
60,14122.9,0.50456,0.49452,0.80445,0.94884,0.90969,0.96234,0.87654,0.39799,0.33633,0.78884,0.004159,0.004159,0.004159
61,14359.2,0.50617,0.4924,0.80369,0.9487,0.9127,0.9631,0.8776,0.39771,0.33447,0.78871,0.00406,0.00406,0.00406
62,14594.7,0.50454,0.48562,0.80321,0.95014,0.91259,0.96355,0.87842,0.39709,0.33212,0.7886,0.003961,0.003961,0.003961
63,14829.1,0.5033,0.48156,0.80278,0.94873,0.91404,0.96426,0.87969,0.39655,0.32939,0.78845,0.003862,0.003862,0.003862
64,15063.2,0.4995,0.47857,0.80283,0.94884,0.91456,0.9649,0.88077,0.39614,0.32708,0.78836,0.003763,0.003763,0.003763
65,15297.7,0.49853,0.47599,0.80322,0.95172,0.91464,0.96567,0.88156,0.39558,0.32454,0.78829,0.003664,0.003664,0.003664
66,15533.9,0.49791,0.47246,0.80174,0.95117,0.9162,0.96619,0.88281,0.39511,0.3225,0.78814,0.003565,0.003565,0.003565
67,15769.5,0.4982,0.46659,0.80185,0.94699,0.92062,0.96669,0.88382,0.39475,0.31978,0.78806,0.003466,0.003466,0.003466
68,16004.2,0.49715,0.46646,0.80229,0.94651,0.92382,0.96721,0.8844,0.39418,0.31714,0.78795,0.003367,0.003367,0.003367
69,16238.5,0.49409,0.45921,0.80243,0.94598,0.92498,0.96783,0.88454,0.39397,0.31486,0.78792,0.003268,0.003268,0.003268
70,16473.4,0.49515,0.45595,0.80159,0.94739,0.9261,0.96834,0.88536,0.39359,0.31248,0.78783,0.003169,0.003169,0.003169
71,16707.4,0.49131,0.4498,0.80029,0.943,0.93036,0.9687,0.88617,0.39296,0.31014,0.78771,0.00307,0.00307,0.00307
72,16941.4,0.49,0.44665,0.8008,0.9428,0.9333,0.96917,0.88722,0.39257,0.30806,0.78762,0.002971,0.002971,0.002971
73,17176.5,0.48641,0.43946,0.79963,0.94373,0.93483,0.96982,0.88807,0.39203,0.30523,0.7875,0.002872,0.002872,0.002872
74,17411.5,0.48859,0.44222,0.80101,0.9425,0.93812,0.97035,0.88853,0.39149,0.30356,0.78733,0.002773,0.002773,0.002773
75,17647.2,0.48463,0.43592,0.79947,0.94429,0.93829,0.97088,0.88987,0.39111,0.30112,0.78724,0.002674,0.002674,0.002674
76,17883.2,0.48407,0.4328,0.80002,0.94483,0.93999,0.97146,0.89044,0.3904,0.29859,0.78716,0.002575,0.002575,0.002575
77,18118.3,0.48571,0.43273,0.7996,0.94769,0.93901,0.97214,0.89178,0.3898,0.29641,0.78709,0.002476,0.002476,0.002476
78,18352.2,0.48291,0.42243,0.79974,0.94873,0.93954,0.97258,0.89202,0.38906,0.29433,0.78694,0.002377,0.002377,0.002377
79,18587.6,0.47909,0.42421,0.79926,0.94832,0.94187,0.97294,0.89336,0.38844,0.29203,0.7868,0.002278,0.002278,0.002278
80,18821.7,0.48001,0.41693,0.79933,0.94719,0.94412,0.97357,0.89426,0.38806,0.29038,0.78669,0.002179,0.002179,0.002179
81,19056.7,0.47889,0.4091,0.79928,0.94886,0.94258,0.97397,0.89459,0.38744,0.28835,0.78658,0.00208,0.00208,0.00208
82,19292.6,0.47841,0.40667,0.79904,0.95009,0.94476,0.97436,0.89515,0.38718,0.28641,0.78649,0.001981,0.001981,0.001981
83,19526.6,0.47572,0.4028,0.79876,0.94857,0.94865,0.97493,0.89569,0.38655,0.28419,0.78635,0.001882,0.001882,0.001882
84,19762.6,0.4733,0.39917,0.7986,0.947,0.95085,0.97553,0.89635,0.38602,0.28213,0.78624,0.001783,0.001783,0.001783
85,19997.6,0.47121,0.39809,0.7971,0.94856,0.95042,0.97589,0.89712,0.38561,0.2804,0.78608,0.001684,0.001684,0.001684
86,20233.2,0.46964,0.38935,0.79726,0.94814,0.95437,0.97654,0.89802,0.38482,0.27838,0.78596,0.001585,0.001585,0.001585
87,20467.6,0.47038,0.38803,0.79779,0.94844,0.95507,0.97694,0.89863,0.38441,0.27684,0.78588,0.001486,0.001486,0.001486
88,20702.9,0.46749,0.38287,0.7965,0.94829,0.95636,0.97752,0.89961,0.38388,0.27484,0.78578,0.001387,0.001387,0.001387
89,20936.8,0.46598,0.3782,0.7968,0.94917,0.95648,0.97768,0.90031,0.38361,0.27366,0.78566,0.001288,0.001288,0.001288
90,21171.5,0.46549,0.37661,0.79671,0.94881,0.95928,0.97809,0.90131,0.38301,0.27205,0.7855,0.001189,0.001189,0.001189
91,21435.8,0.42753,0.33579,0.79239,0.95046,0.95921,0.97854,0.90204,0.38263,0.27016,0.78544,0.00109,0.00109,0.00109
92,21669.2,0.42584,0.32318,0.79353,0.95393,0.95855,0.97911,0.90295,0.3822,0.26825,0.78534,0.000991,0.000991,0.000991
93,21901.3,0.42175,0.31739,0.79187,0.9584,0.95707,0.97958,0.90345,0.38164,0.26629,0.78522,0.000892,0.000892,0.000892
94,22132.5,0.42172,0.3094,0.79298,0.95981,0.95819,0.97993,0.904,0.38129,0.26409,0.78511,0.000793,0.000793,0.000793
95,22365.2,0.41752,0.30301,0.79178,0.96279,0.95748,0.98035,0.90485,0.38086,0.2622,0.78501,0.000694,0.000694,0.000694
96,22597.9,0.41542,0.29825,0.79166,0.96182,0.96096,0.98082,0.90566,0.38041,0.25982,0.78492,0.000595,0.000595,0.000595
97,22831.3,0.41505,0.29431,0.79012,0.96308,0.96206,0.9812,0.90652,0.38004,0.25798,0.78483,0.000496,0.000496,0.000496
98,23063.9,0.4116,0.28629,0.78981,0.96426,0.96363,0.98171,0.90725,0.37946,0.2556,0.78468,0.000397,0.000397,0.000397
99,23296.5,0.40938,0.28016,0.79015,0.96475,0.96433,0.9821,0.90813,0.37896,0.25399,0.78457,0.000298,0.000298,0.000298
100,23529,0.40744,0.27715,0.7897,0.96454,0.96603,0.98256,0.90827,0.37859,0.25208,0.78444,0.000199,0.000199,0.000199
