epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.331,0.77834,3.38791,0.84749,0.48958,0.5529,0.53876,0.45266,0.57733,1.44148,0.82157,0.00332929,0.00332929,0.00332929
2,471.882,0.72808,1.91709,0.84233,0.55985,0.60724,0.61629,0.51211,0.61003,1.30899,0.82864,0.00659666,0.00659666,0.00659666
3,708.02,0.7469,1.53367,0.84768,0.54521,0.53579,0.57008,0.47169,0.63402,1.60823,0.83136,0.00979803,0.00979803,0.00979803
4,941.99,0.72098,1.25212,0.84551,0.70471,0.65919,0.71501,0.60309,0.57493,1.00788,0.82381,0.009703,0.009703,0.009703
5,1178.01,0.67849,1.06659,0.83817,0.71189,0.71288,0.76409,0.65207,0.54239,0.90499,0.81721,0.009604,0.009604,0.009604
6,1417.18,0.6473,0.98477,0.83051,0.7245,0.74675,0.7915,0.68493,0.5117,0.81743,0.81315,0.009505,0.009505,0.009505
7,1678.22,0.63294,0.91796,0.82801,0.78132,0.74925,0.82369,0.71608,0.49349,0.73851,0.80889,0.009406,0.009406,0.009406
8,1914.72,0.62154,0.88019,0.82569,0.83255,0.78212,0.86182,0.75211,0.47859,0.63936,0.80564,0.009307,0.009307,0.009307
9,2150.36,0.61131,0.84693,0.82288,0.84537,0.80624,0.87513,0.77176,0.46345,0.6026,0.80243,0.009208,0.009208,0.009208
10,2385.88,0.60256,0.81385,0.82162,0.83582,0.81922,0.87792,0.77548,0.4585,0.59239,0.80113,0.009109,0.009109,0.009109
11,2621.23,0.59347,0.79331,0.81929,0.84277,0.82835,0.88741,0.78744,0.448,0.56822,0.79884,0.00901,0.00901,0.00901
12,2856.18,0.58834,0.76556,0.81889,0.84103,0.85303,0.90174,0.80097,0.44526,0.5361,0.79806,0.008911,0.008911,0.008911
13,3090.85,0.58271,0.75713,0.81802,0.86265,0.8507,0.90681,0.808,0.43897,0.51875,0.79694,0.008812,0.008812,0.008812
14,3325.24,0.58003,0.73475,0.8167,0.86984,0.85779,0.91401,0.81603,0.43414,0.49799,0.7961,0.008713,0.008713,0.008713
15,3560.18,0.57707,0.73149,0.81745,0.875,0.86256,0.91662,0.81977,0.43117,0.48982,0.79575,0.008614,0.008614,0.008614
16,3793.96,0.56892,0.71328,0.81427,0.8803,0.86498,0.92101,0.82523,0.42796,0.47627,0.79475,0.008515,0.008515,0.008515
17,4028.75,0.56992,0.70392,0.81524,0.88286,0.86674,0.92296,0.8273,0.42718,0.47001,0.79451,0.008416,0.008416,0.008416
18,4263.44,0.56691,0.6938,0.81346,0.88628,0.86824,0.92403,0.82885,0.42513,0.46454,0.7943,0.008317,0.008317,0.008317
19,4499.21,0.56431,0.67965,0.81282,0.88432,0.87676,0.92636,0.83071,0.42495,0.45866,0.79418,0.008218,0.008218,0.008218
20,4734.31,0.56103,0.68006,0.81304,0.8865,0.88214,0.92892,0.83417,0.42327,0.45092,0.79394,0.008119,0.008119,0.008119
21,4968.59,0.55617,0.65991,0.81343,0.89052,0.88252,0.93073,0.83558,0.42209,0.44593,0.79364,0.00802,0.00802,0.00802
22,5202.95,0.55753,0.6616,0.81267,0.88855,0.88604,0.93213,0.83751,0.42113,0.44052,0.79353,0.007921,0.007921,0.007921
23,5436.74,0.55417,0.65063,0.81151,0.89421,0.88452,0.93328,0.83876,0.42029,0.43758,0.79332,0.007822,0.007822,0.007822
24,5671.3,0.55294,0.64778,0.81157,0.89732,0.8848,0.93403,0.84016,0.41943,0.43436,0.79316,0.007723,0.007723,0.007723
